incident_id,source,place_name,distance_to_fire_m,place_type,place_role,matched_within_radius_m,address,additional_info,osm_type,osm_id,google_place_id,place_latitude,place_longitude
INC203,osm,Unnamed landuse:brownfield,184.94,landuse:brownfield,mapped_object,200,,,way,581836395.0,,33.8893968,35.5055333
INC203,osm,Unnamed building,185.35,building:yes,building,200,,building=yes,way,546769175.0,,33.8907729,35.5069893
INC203,osm,Unnamed landuse:brownfield,185.36,landuse:brownfield,mapped_object,200,,,way,546140449.0,,33.8921602,35.503558
INC203,osm,Croissant Margo,185.38,shop:bakery,business,200,Beyrouth,shop=bakery,node,3259362763.0,,33.8896704,35.5062117
INC203,osm,Unnamed building,187.44,building:yes,building,200,,building=yes,way,546767036.0,,33.8914119,35.5030309
INC203,osm,Unnamed building,187.94,building:yes,building,200,,building=yes,way,546772286.0,,33.8916203,35.5068941
INC203,osm,Unnamed building,188.45,building:yes,building,200,,building=yes,way,546767073.0,,33.8905817,35.5030215
INC203,osm,Unnamed building,191.57,building:yes,building,200,,building=yes,way,546767079.0,,33.8901627,35.5031861
INC203,osm,Unnamed building,193.13,building:yes,building,200,,building=yes,way,581836390.0,,33.8892635,35.5049576
INC203,osm,Unnamed building,193.32,building:yes,building,200,,building=yes,way,581836359.0,,33.8898952,35.5033829
INC203,osm,Unnamed building,193.41,building:yes,building,200,,building=yes,way,546769180.0,,33.8904353,35.5069819
INC203,osm,Unnamed building,194.15,building:yes,building,200,,building=yes,way,546767042.0,,33.8916488,35.5030472
INC203,osm,Unnamed building,194.69,building:yes,building,200,,building=yes,way,891995348.0,,33.8918158,35.5068663
INC203,osm,Unnamed building,195.12,building:yes,building,200,,building=yes,way,581836394.0,,33.8893516,35.5057247
INC203,osm,Unnamed building,195.52,building:yes,building,200,,building=yes,way,581836372.0,,33.8894345,35.5040355
INC203,osm,yasmine cafe,195.62,amenity:cafe,building,200,بيروت,building=yes; amenity=cafe; opening_hours=24/7,way,581836387.0,,33.8892823,35.504542
INC203,osm,Unnamed building,196.26,building:yes,building,200,,building=yes,way,546769182.0,,33.8901174,35.5068413
INC203,osm,Unnamed building,196.26,building:yes,building,200,,building=yes,way,581836362.0,,33.8896311,35.5036578
INC203,osm,Unnamed building,197.1,building:yes,building,200,,building=yes,way,546767034.0,,33.8908889,35.5028688
INC203,osm,Unnamed building,198.69,building:yes,building,200,,building=yes,way,581836379.0,,33.8892932,35.5043628
INC203,osm,Unnamed building,199.45,building:yes,building,200,,building=yes,way,546767063.0,,33.8904522,35.5029424
INC204,osm,Unnamed landuse:brownfield,53.03,landuse:brownfield,mapped_object,200,,,way,834014451.0,,33.8995236,35.5099738
INC204,osm,Unnamed man_made:pier,77.08,man_made:pier,infrastructure,200,,man_made=pier,way,931260855.0,,33.8996249,35.5107023
INC204,google,Indigo on the Roof,89.44,restaurant,place,200,"Le Gray Hotel Martyrs Square، Bayrut, Lebanon",google_primary_type=restaurant; google_types=restaurant|food|point_of_interest|establishment,,,ChIJj6eAWCEXHxURj4gfx-tkRmY,33.9007447,35.5096337
INC204,osm,Unnamed amenity:parking,95.17,amenity:parking,place,200,,amenity=parking,way,802956482.0,,33.8998196,35.508992
